Term,Definition,Grammatical Label,Topic,URL
dry forward combustion,"A type of in situ combustion in which the burning front moves in the same direction as the injected air. As air is continuously supplied at the injection well, the fire ignited at this location moves toward the production wells. During forward combustion, the temperature behind the burning front is high, indicating a great amount of heat stored in the formation matrix. The injected gas heats on contact with the matrix and recovers only a small amount of the heat, with considerable losses to the surrounding formations. Another drawback of dry forward combustion is the presence of a highly viscous oil zone surrounding the production well. The fluid in this zone remains at the original reservoir temperature and its forward displacement by the heated oil is normally difficult.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/d/dry_forward_combustion
resin,"Organic material having low solubility. Resins are usually large and complex polymeric molecules with noncrystalline structure and no distinct melting point or other definitive properties. Resins are used as additives to improve filter cake, provide lubricity or stop lost circulation as lost-circulation material. Resins are derived from plant sources (such as pine trees), some are residues of manufacturing processes and some resins are mined material.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/r/resin
reverse combustion,"A type of in-situ combustion in which the burning front moves in an opposite direction to the injected air. Initially, air is injected into a production well and the fire is ignited. After the burning front has advanced some distance from the production well, air is supplied only near the injection well. The burning front advances toward the injection well while the oil moves toward the production well. Reverse combustion actually refers to dry reverse combustion and can be used to recover extremely viscous oil or tar. In reverse combustion, the liquid blocking problem is solved because a hot zone is maintained near the production well. Despite this advantage, this process is not as efficient as dry forward combustion because lighter fractions of the oil are burned and heavier fractions are left behind the burning front. Another drawback is the possibility of a spontaneous ignition in the injector well, which will divert air for combustion near the injector well instead of near the producer.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/r/reverse_combustion
liquid blocking,"A phenomenon encountered during dry forward combustion in which an oil zone around the production well cannot be pushed forward by the heated oil. The fluid located in this zone is still at the original reservoir temperature. Therefore, the fluid is still highly viscous and normally not mobile.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/l/liquid_blocking
in-situ viscosity evaluation,"Downhole measurement of fluid viscosity, typically performed either with logging tools based on nuclear magnetic resonance (NMR) or with sampling tools such as formation testers.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/i/in-situ_viscosity_evaluation
in-situ combustion,"A method of thermal recovery in which fire is generated inside the reservoir by injecting a gas containing oxygen, such as air. A special heater in the well ignites the oil in the reservoir and starts a fire. The heat generated by burning the heavy hydrocarbons in place produces hydrocarbon cracking, vaporization of light hydrocarbons and reservoir water in addition to the deposition of heavier hydrocarbons known as coke. As the fire moves, the burning front pushes ahead a mixture of hot combustion gases, steam and hot water, which in turn reduces oil viscosity and displaces oil toward production wells. Additionally, the light hydrocarbons and the steam move ahead of the burning front, condensing into liquids, which adds the advantages of miscible displacement and hot waterflooding. In situ combustion is also known as fire flooding or fireflood.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/i/in-situ_combustion
in situ combustion,"A method of thermal recovery in which fire is generated inside the reservoir by injecting a gas containing oxygen, such as air. A special heater in the well ignites the oil in the reservoir and starts a fire. The heat generated by burning the heavy hydrocarbons in place produces hydrocarbon cracking, vaporization of light hydrocarbons and reservoir water in addition to the deposition of heavier hydrocarbons known as coke. As the fire moves, the burning front pushes ahead a mixture of hot combustion gases, steam and hot water, which in turn reduces oil viscosity and displaces oil toward production wells. Additionally, the light hydrocarbons and the steam move ahead of the burning front, condensing into liquids, which adds the advantages of miscible displacement and hot waterflooding. In situ combustion is also known as fire flooding or fireflood.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/i/in_situ_combustion
inverted five-spot,An injection pattern in which four production wells are located at the corners of a square and the injector well sits in the center.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/i/inverted_five-spot
oil sand,A porous sand layer or sand body filled with oil.,Noun,Geology,https://glossary.slb.com/en/terms/o/oil_sand
pour point,"The lowest temperature (in degF or degC) at which a liquid remains pourable (meaning it still behaves as a fluid). Oil or synthetic muds with high pour points may suffer from poor screening and excessive pressure surges in deepwater wells or other operations subject to low temperatures. In oils, the pour point is generally increased by a high paraffin content. The pour point of liquid additives is an important consideration for arctic drilling operations.",Noun,Drilling Fluids,https://glossary.slb.com/en/terms/p/pour_point
ultraheavy oil,"A designation for a hydrocarbon fluid with a gravity of 10° API or lower, based upon the classification of the US Department of Energy.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/u/ultra_heavy_oil
upgrader,"A refinery unit used to improve or upgrade heavy oil to produce higher-quality hydrocarbon liquids or upgraded synthetic crudes. The refining unit may include any combination of the following: hydrogen addition processes, carbon rejection processes or carbon concentration and removal processes.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/u/upgrader
vapor extraction (vapex),"A non-thermal heavy oil production method. Similar in concept to SAGD, in vapor extraction a solvent vapor is used to reduce viscosity of the heavy oil. The injected solvent vapor expands and dilutes the heavy oil by contact. The diluted heavy oil will drain by gravity to the lower horizontal well, to be produced.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/v/vapor_extraction
viscous oil,"Crude oil with high viscosity (typically above 10 cP), and high specific gravity. The API classifies heavy oil as crudes with a gravity below 22.3° API. In addition to high viscosity and high specific gravity, heavy oils typically have low hydrogen-to-carbon ratios; high asphaltene, sulfur, nitrogen, and heavy-metal content; and higher acid numbers.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/v/viscous_oil
water alternating gas (WAG),An enhanced oil recovery process whereby water injection and gas injection are carried out alternately for periods of time to provide better sweep efficiency and reduce gas channeling from injector to producer. This process is used mostly in CO2 floods to improve hydrocarbon contact time and sweep efficiency of the CO2.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/w/water_alternating_gas
wormhole,"A large, empty channel that can penetrate several feet into the formation, caused by the nonuniform dissolution of limestone or dolomite by hydrochloric acid [HCl]. Wormholes are created during matrix stimulation or acid fracturing of carbonate formations. The purpose of matrix stimulation is to create highly conductive wormholes to bypass damage. However, in fracture acidizing, wormholing is a problem, since it is an unwanted diversion of the live acid from the hydraulic fracture system, which causes a reduction of the etched fracture length.",Noun,Enhanced Oil Recovery,https://glossary.slb.com/en/terms/w/wormhole
wet combustion,"An in situ combustion technique in which water is injected simultaneously or alternately with air into a formation. Wet combustion actually refers to wet forward combustion and was developed to use the great amount of heat that would otherwise be lost in the formation. The injected water recovers the heat from behind the burning front and transfers it to the oil bank ahead. Because of this additional energy, the oil displacement is more efficient and requires less air. In spite of these advantages, a wet combustion process cannot avoid liquid-blocking problems and use of wet combustion is limited by the oil viscosity. Wet combustion is also called in situ steam generation or a combination of forward combustion and waterflooding, which is abbreviated as COFCAW.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/w/wet_combustion
API gravity,"A specific gravity scale developed by the American Petroleum Institute (API) for measuring the relative density of various petroleum liquids, expressed in degrees. API gravity is gradated in degrees on a hydrometer instrument and was designed so that most values would fall between 10° and 70° API gravity. The arbitrary formula used to obtain this effect is: API gravity = (141.5/SG at 60 degF) – 131.5, where SG is the specific gravity of the fluid.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/a/api_gravity
steam soak,"Another term for soak phase, in cyclic steam injection, the second phase between the steam-injection phase and the production phase. During the soak phase, the well is shut in for several days to allow uniform heat distribution to thin the oil.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam_soak
SARA analysis,"A method for characterization of heavy oils based on fractionation, whereby a heavy oil sample is separated into smaller quantities or fractions, with each fraction having a different composition. Fractionation is based on the solubility of hydrocarbon components in various solvents used in this test. Each fraction consists of a solubility class containing a range of different molecular-weight species. In this method, the crude oil is fractionated to four solubility classes, referred to collectively as SARA: saturates, aromatics, resins, and asphaltenes. Saturates are generally iso- and cyclo-paraffins, while aromatics, resins, and asphaltenes form a continuum of molecules with increasing molecular weight, aromaticity, and heteroatom contents. Asphaltenes may also contain metals such as nickel and vanadium. This method is sometimes referred to as Asphaltene/Wax/Hydrate Deposition analysis.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/sara_analysis
SAGD,"A thermal production method for heavy oil that pairs a high-angle injection well with a nearby production well drilled along a parallel trajectory. The pair of high-angle wells is drilled with a vertical separation of about 5 m [16 ft]. Steam is injected into the reservoir through the upper well. As the steam rises and expands, it heats up the heavy oil, reducing its viscosity. Gravity forces the oil to drain into the lower well where it is produced.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/sagd
soak phase,"In cyclic steam injection, the second phase between the steam-injection phase and the production phase. During the soak phase, the well is shut in for several days to allow uniform heat distribution to thin the oil.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/soak_phase
steam chamber,"The volume of reservoir in which mobile steam exists for an extended period of time. Within the steam chamber, rock temperature rises to the point where steam vapor can be sustained at reservoir pressure conditions. The steam chamber is normally found in the upper portion of a reservoir sand between a steam injector and a producer, where steam has broken through to the producer. With time, the steam chamber can expand to cover an entire area of a five-spot pattern steamflood. For a steam assisted gravity drainage (SAGD) system, the steam chamber in a mature field project can extend from a broad area across the top of the sand to a narrow finger down to the producing horizontal well near the bottom of the sand. Also referred to as a steam chest.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam_chamber
steam management,"The overall heat and fuel management for a steam injection process. It includes economically efficient use of fuel consumed to generate steam, minimization of heat losses in surface steam-distribution lines, proper splitting of steam flow and quality and intersections in steam-distribution lines, and effective management of steam and heat distribution in the reservoir.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam_management
steamflood,"A method of thermal recovery in which steam generated at surface is injected into the reservoir through specially distributed injection wells. When steam enters the reservoir, it heats up the crude oil and reduces its viscosity. The heat also distills light components of the crude oil, which condense in the oil bank ahead of the steam front, further reducing the oil viscosity. The hot water that condenses from the steam and the steam itself generate an artificial drive that sweeps oil toward producing wells. Another contributing factor that enhances oil production during steam injection is related to near-wellbore cleanup. In this case, steam reduces the interfacial tension that ties paraffins and asphaltenes to the rock surfaces while steam distillation of crude oil light ends creates a small solvent bank that can miscibly remove trapped oil. Steamflooding is also called continuous steam injection or steam drive.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steamflood
steam-assisted gravity drainage,"A thermal production method for heavy oil that pairs a high-angle injection well with a nearby production well drilled along a parallel trajectory. The pair of high-angle wells is drilled with a vertical separation of about 5 m [16 ft]. Steam is injected into the reservoir through the upper well. As the steam rises and expands, it heats up the heavy oil, reducing its viscosity. Gravity forces the oil to drain into the lower well where it is produced.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam-assisted_gravity_drainage
steam-oil ratio,"Parameter used to monitor the efficiency of oil production processes based on steam injection. Commonly abbreviated as SOR, it measures the volume of steam required to produce one unit volume of oil. Typical values of SOR for cyclic steam stimulation are in the range of three to eight, while typical SOR values for steam assisted gravity drainage are in the range of two to five. The lower the SOR, the more efficiently the steam is utilized and the lower the associated fuel costs.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam-oil_ratio
steam,"A two-phase mixture of liquid water and steam produced from a generator. The latent heat of vaporization for steam is very high, and when the steam condenses in the reservoir a significant amount of heat is transferred from the steam to the formation rock and fluids. Since steam is lighter and more mobile than oil, gravity differences and channeling of the steam through the most permeable parts of the reservoir can create sweep efficiency problems during steam-injection processes. To increase sweep efficiency, there are two categories of improvements. The first is operational changes such as selective completion of injector wells, fracturing operations and constructing horizontal wells, and the second is the use of additives in the steam. For example, water-soluble surfactants modify interfacial properties of the oil-water system, and foams reduce steam mobility.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/s/steam
toe to heel air injection,"An in-situ combustion method for producing heavy oil. In this technique, the fireflooding starts from a vertical well, while the oil is produced from a horizontal well having its toe in close proximity to the vertical air-injection well. This production method is a modification of conventional fire flooding techniques in which the flame front from a vertical well pushes the oil to be produced from another vertical well.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/toe_to_heel_air_injection
TEOR,"Abbreviation for thermal enhanced oil recovery, also known as thermal recovery, a general term for injection processes that introduce heat into a reservoir. Thermal recovery is used to produce viscous, thick oils with API gravities less than 20. These oils cannot flow unless they are heated and their viscosity is reduced enough to allow flow toward producing wells. During thermal recovery, crude oil undergoes physical and chemical changes because of the effects of the heat supplied. Physical properties such as viscosity, specific gravity and interfacial tension are altered. The chemical changes involve different reactions such as cracking, which is the destruction of carbon-carbon bonds to generate lower molecular weight compounds, and dehydrogenation, which is the rupture of carbon-hydrogen bonds. Thermal recovery is a major branch of enhanced oil recovery processes and can be subdivided in two types: hot fluid injection such as steam injection (steamflood or cyclic steam injection) and hot waterflooding and in-situ combustion processes.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/teor
thermal simulation,"The finite-difference or finite-element reservoir simulation that includes energy equations and calculations used to describe heat conduction, heat and fluid convection, and latent heat exchanges occurring in the reservoir rock and fluids during a thermal recovery process such as steamflooding, steam assisted gravity drainage, or in-situ combustion. Combustion thermal simulation also requires equations for modeling combustion reaction kinetics.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/thermal_simulation
THAI,Abbreviation for toe to heel air injection.,Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/thai
thermal recovery,"A general term for injection processes that introduce heat into a reservoir. Thermal recovery is used to produce viscous, thick oils with API gravities less than 20. These oils cannot flow unless they are heated and their viscosity is reduced enough to allow flow toward producing wells. During thermal recovery, crude oil undergoes physical and chemical changes because of the effects of the heat supplied. Physical properties such as viscosity, specific gravity and interfacial tension are altered. The chemical changes involve different reactions such as cracking, which is the destruction of carbon-carbon bonds to generate lower molecular weight compounds, and dehydrogenation, which is the rupture of carbon-hydrogen bonds. Thermal recovery is a major branch of enhanced oil recovery processes and can be subdivided in two types: hot fluid injection such as steam injection (steamflood or cyclic steam injection) and hot waterflooding and in-situ combustion processes.",Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/thermal_recovery
tar sand,"A sand body that contains heavy hydrocarbon residues such as tar or asphalt, or degraded oil that has lost its volatile components. Hydrocarbons can be liberated from tar sands by heating and other processes, but tar sands, such as the Athabasca tar sands of Canada, are not commonly commercial because of high costs of production. Among some workers in the field of heavy oil, this term is falling out of use, in favor of the term ""oil sand.""",Noun,Heavy Oil,https://glossary.slb.com/en/terms/t/tar_sand
emulsion,A dispersion of one immiscible liquid into another through the use of a chemical that reduces the interfacial tension between the two liquids to achieve stability.,Noun,Drilling Fluids,https://glossary.slb.com/en/terms/e/emulsion
